Phase,Site id,Municipality,Site name,Collection,Main number,Subnumber,p,i,z,Category,Type (Finnish),Preroman IA,Early Roman IA,Late Roman IA,Migration period,Merovingian period,Viking period,Crusade period,1100-1300,1400-1500,Settlement site,Cremation cemetery,Inhumation cemetery,Stray find,Cairn,Hoard,Other context,Certainty,Integrity,Length (mm),Width (mm),Thickness (mm),Fragment length (mm),Fragment width (mm),Fragment thickness (mm),Other notes (Finnish),PhotoID,X,Y,Type,Subtype,Subtype (Finnish),m1,m2,m3,n1,n2,n3,n4,p1,p2,r1,r2,Main temper (Finnish),Other tempers (Finnish),Count (1-10),Count (10-100),Count (>100),Subtype 2,Decoration,Wave motif,Grid motif,Cord impression,Decoration elements (Finnish),Wall thickness 1 (mm),Wall thickness 2 (mm),Rim thickness 1 (mm),Rim thickness 2 (mm),Crust,Subtype 2 (Finnish),Stone art (Finnish)
IA,979010006,Pöytyä,Anivehmaanmäki,KM,14196,123,6759038.0,3251588.0,55,Amber artefacts,Meripihkariipus,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,1.0,False,,,,15.0,9.0,,"Hauta LI, pitkänomainen, katkennut",KM 14196_123,"22,42291347","60,86298054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000118,Laitila,Soukainen,KM,22020,17.0,6767800.0,3212340.0,15,Beads,Lasimassahelmi,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1.0,True,10.0,6.0,,,,,7,KM 22020_17,"21,69060425","60,91480359",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000130,Laitila,Kuivala/Hällynen,KM,23085,9.0,6768200.0,3212490.0,"17,5",Beads,Pronssihelmi,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,1.0,True,11.0,6.0,6.0,,,,Pistekoristelut. Aika hyvin säilynyt. Jos samasta kuin merovingiaikaiseksi arveltu esinesikermä niin olisi merovingiaikainen.,KM 23085_9,"21,69276122","60,91848679",Bronze bead,Bronze bead (serial),Sarjahelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000130,Laitila,Kuivala/Hällynen,KM,23085,14.0,6768200.0,3212490.0,"17,5",Beads,Lasimassahelmi,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,1.0,True,11.0,7.0,,,,,"Punainen/oranssi, huonokuntoinen, ollut tulessa",KM 23085_14,"21,69276122","60,91848679",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000130,Laitila,Kuivala/Hällynen,KM,23085,15.0,6768200.0,3212490.0,"17,5",Beads,Lasimassahelmi,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,2.0,False,,,,,,,"On niin sulanut, että vaikea sanoa onko alkujaan kaksoishelmi vai kasi yhteensulanutta. Sininen.",KM 23085_15,"21,69276122","60,91848679",Glass bead,Glass bead (serial),Sarjahelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000130,Laitila,Kuivala/Hällynen,KM,23085,8.0,6768200.0,3212490.0,"17,5",Beads,Pronssihelmi,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,1.0,True,36.0,8.0,8.0,,,,Pistekoristelut. Aika hyvin säilynyt. Jos samasta kuin merovingiaikaiseksi arveltu esinesikermä niin olisi merovingiaikainen.,KM 23085_8,"21,69276122","60,91848679",Bronze bead,Bronze bead (serial),Sarjahelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000171,Laitila,Kylämäki,KM,16312,80.0,6764470.0,3210650.0,15,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,False,,,,8.0,,,,KM 16312_80,"21,66457572","60,88381826",Glass bead,Melon glass bead,Melonihelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000171,Laitila,Kylämäki,KM,16312,95.0,6764470.0,3210650.0,15,Beads,Lasimassahelmi,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,1.0,True,9.0,6.0,,,,,"Savihelmen värinen, mutta hieman painavampi. Mattapintainen ja tiivis, kellanoranssi, samanlaisen puolikas alanrolla 178",KM 16312_95,"21,66457572","60,88381826",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000171,Laitila,Kylämäki,KM,16312,372.0,6764470.0,3210650.0,15,Beads,Pronssihelmi,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,1.0,True,9.0,10.0,,,,,Sisältä ontto,KM 16312_372,"21,66457572","60,88381826",Bronze bead,Bronze bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000171,Laitila,Kylämäki,KM,16312,3.0,6764470.0,3210650.0,15,Beads,Lasimassahelmi,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,1.0,True,11.0,7.0,,,,,"Himmeä, mattapintainen massa, vastaava puolikas alanrolla 19, vastaavia kokonaisia alanroilla  87 ja 98 ja 177 ja 369 ja 370",KM 16312_3,"21,66457572","60,88381826",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000181,Laitila,Rukoushuone-Kansakoulunmäki,KM,17793,1.0,6763629.0,3212587.0,20,Beads,Pronssihelmi,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,1.0,True,19.0,6.0,,,,,"fasetoidut helmet, joissa häränsilmäleimoja",KM 17793_1,"21,70134131","60,87771059",Bronze bead,Bronze bead (serial),Sarjahelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000181,Laitila,Rukoushuone-Kansakoulunmäki,KM,17793,26.0,6763629.0,3212587.0,20,Beads,Lasimassahelmi,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,1.0,False,,,,10.0,7.0,,Puolikas punaisesta lasimassahelmest',KM 17793_26,"21,70134131","60,87771059",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000000181,Laitila,Rukoushuone-Kansakoulunmäki,KM,17793,2.0,6763629.0,3212587.0,20,Beads,Lasimassahelmi,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,2.0,True,9.0,6.0,,,,,"Tiilenpunainen/oranssi lasimassahelmi vai savihelmi? Pinta mattamainen mutta salamavalossa kiiltävä, näkyy punaisia kohtia",KM 17793_2,"21,70134131","60,87771059",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000002253,Mikkeli,Konnunsuo,KM,19128,9.0,6837140.0,3514600.0,86,Beads,Kivihelmi,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2.0,True,13.0,12.0,,,,,"Kirkas, pyöreä. Rautakautinen?? Löytynyt Annilan pellolta",KM 19128_9,"27,27219276","61,64149348",Stone bead,Rock crystal bead,Vuorikristallihelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000005621,Laitila,Kaukola Kotiranta 2,KM,15101,1.0,6766839.0,3212086.0,15,Beads,Emalihelmi,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1.0,True,16.0,16.0,,,,,emalihelmi,KM 15101_1,"21,68737584","60,90603182",Enamel bead,Enamel bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,1000016620,Pirkkala,Tanila,KM,15834,1.0,6821835.0,3317997.0,"82,5",Beads,Kivihelmi,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,2.0,True,18.0,14.0,,,,,Palanut,KM 15834_1,"23,58234198","61,46156571",Stone bead,Carnelian bead,Karneolihelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,109010031,Hämeenlinna,Varikkoalue 3,KM,21188,1288.0,6768147.0,3364470.0,86,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,False,,,,16.0,11.0,6.0,"Kappale kierretystä kuviollisesta helmestä. Sinine, raidallista leveää nauhaa tai viivaa, joka keltaista ja sinisillä poikkiraidoilla",KM 21188_1288,"24,49166518","60,9993049",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,109010031,Hämeenlinna,Varikkoalue 3,KM,21188,1048.0,6768147.0,3364470.0,86,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,True,6.0,4.0,,,,,"Sininen, osittain sulanut",KM 21188_1048,"24,49166518","60,9993049",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,109010031,Hämeenlinna,Varikkoalue 3,KM,21188,1379.0,6768147.0,3364470.0,86,Beads,Lasimassahelmi,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,1.0,True,7.0,5.0,,,,,Punainen,KM 21188_1379,"24,49166518","60,9993049",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,109010031,Hämeenlinna,Varikkoalue 3,KM,21188,1424.0,6768147.0,3364470.0,86,Beads,Savihelmi,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,1.0,True,7.0,4.0,,,,,"Rengasmainen savihelmi, kuten 1420b",KM 21188_1424,"24,49166518","60,9993049",Clay bead,Clay bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,109010031,Hämeenlinna,Varikkoalue 3,KM,21188,249.0,6768147.0,3364470.0,86,Beads,Savihelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,True,9.0,7.0,,,,,Kaksoishelmen näköiseksi tehty pitkulainen savihelmi.,KM 21188_249,"24,49166518","60,9993049",Clay bead,Clay bead (serial),Sarjahelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,109010031,Hämeenlinna,Varikkoalue 3,KM,21188,687.0,6768147.0,3364470.0,86,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,False,,,,,,,"Sulanut. Ehkä alunperinkin litteä. Keltainen, kolme punaista pistettä.",KM 21188_687,"24,49166518","60,9993049",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,109010031,Hämeenlinna,Varikkoalue 3,KM,21188,147.0,6768147.0,3364470.0,86,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,False,,,,,,,"Sulanut. Musta, valkoiset juovat, silmässä turkoosi keskus ja punainen reuna",KM 21188_147,"24,49166518","60,9993049",Glass bead,Glass bead (eye bead),Silmähelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,109010031,Hämeenlinna,Varikkoalue 3,KM,21188,695.0,6768147.0,3364470.0,86,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,False,,,,,,,Keltainen. Puolikas. Segmentoitu varras.,KM 21188_695,"24,49166518","60,9993049",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,163010005,Kouvola,Pukkisaari,KM,19915,4.0,6784680.0,3478120.0,73,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,True,,,,,,,"Samalla alanrolla yht 10 erilaista. Sininen 2 kpl, toinen kierretty, toinen suorasta putkesta leikattu, toinen sen verran sulanut, että ei voi sanoa.",KM 19915_4,"26,59027985","61,17037981",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,163010005,Kouvola,Pukkisaari,KM,19915,15.0,6784680.0,3478120.0,73,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,True,,,,,,,"48 kpl sulaneita helmiä ja niiden kappaleita. Turkoosi, musta keskus ja säteet punaista ja valkoista.",KM 19915_15,"26,59027985","61,17037981",Glass bead,Glass bead (eye bead),Silmähelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,163010005,Kouvola,Pukkisaari,KM,19915,15.0,6784680.0,3478120.0,73,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,True,,,,,,,"48 kpl sulaneita helmiä ja niiden kappaleita. Keltainen. Turkoosi keskus, säteet valkoista ja punaista",KM 19915_15,"26,59027985","61,17037981",Glass bead,Glass bead (eye bead),Silmähelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,163010005,Kouvola,Pukkisaari,KM,19915,15.0,6784680.0,3478120.0,73,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,True,,,,,,,"48 kpl sulaneita helmiä ja niiden kappaleita. Keltainen. Musta keskus, säteet valkoista ja punaista. Monta silmää.",KM 19915_15,"26,59027985","61,17037981",Glass bead,Glass bead (eye bead),Silmähelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,163010005,Kouvola,Pukkisaari,KM,19915,15.0,6784680.0,3478120.0,73,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,True,,,,,,,"48 kpl sulaneita helmiä ja niiden kappaleita. Keltainen. Musta keskus, mustaa, punaista ja valkoista säteissä, mustat juovat horisontaalisesti",KM 19915_15,"26,59027985","61,17037981",Glass bead,Glass bead (eye bead),Silmähelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,163010005,Kouvola,Pukkisaari,KM,19915,15.0,6784680.0,3478120.0,73,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,True,,,,,,,48 kpl sulaneita helmiä ja niiden kappaleita. Sininen. Silmän keskus musta ja säteet valkoista ja punaista.,KM 19915_15,"26,59027985","61,17037981",Glass bead,Glass bead (eye bead),Silmähelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,163010005,Kouvola,Pukkisaari,KM,19915,15.0,6784680.0,3478120.0,73,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,True,,,,,,,48 kpl sulaneita helmiä ja niiden kappaleita. Yhteen sulaneena ainakin keltaisia silmähelmiä ja sinisiä juovallisia silmähelmiä sekä keltaisia ja punaisia silmähelmiä. Luultavasti kaikkia näitä tässä olevia tyyppejä käytetty samassa korussa.,KM 19915_15,"26,59027985","61,17037981",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,163010005,Kouvola,Pukkisaari,KM,19915,4.0,6784680.0,3478120.0,73,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,True,,,,,,,"Samalla alanrolla yht 10 erilaista. Keltainen, turkoosit erilliset kohoumat, joissa pun ja vaöl säteet 2 kpl",KM 19915_4,"26,59027985","61,17037981",Glass bead,Glass bead (eye bead),Silmähelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,163010005,Kouvola,Pukkisaari,KM,19915,1.0,6784680.0,3478120.0,73,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,True,,,,,,,"Samalla alanrolla yht 10 erilaista. Keltainen, turkoosit erilliset kohoumat 2 kpl",KM 19915_1,"26,59027985","61,17037981",Glass bead,Glass bead (eye bead),Silmähelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,163010005,Kouvola,Pukkisaari,KM,19915,15.0,6784680.0,3478120.0,73,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,True,,,,,,,48 kpl sulaneita helmiä ja niiden kappaleita. Musta tai tummansininen. Turkoosit juovat Silmän keskus musta  ja säteet valkoista ja punaista.,KM 19915_15,"26,59027985","61,17037981",Glass bead,Glass bead (eye bead),Silmähelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,163010005,Kouvola,Pukkisaari,KM,19915,4.0,6784680.0,3478120.0,73,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,True,,,,,,,"Samalla alanrolla yht 10 erilaista. Keltainen, turkoosit erilliset kohoumat",KM 19915_4,"26,59027985","61,17037981",Glass bead,Glass bead (eye bead),Silmähelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,163010005,Kouvola,Pukkisaari,KM,19915,15.0,6784680.0,3478120.0,73,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,True,,,,,,,48 kpl sulaneita helmiä ja niiden kappaleita. Keltainen. Turkoosi piste,KM 19915_15,"26,59027985","61,17037981",Glass bead,Glass bead (eye bead),Silmähelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,163010005,Kouvola,Pukkisaari,KM,19915,4.0,6784680.0,3478120.0,73,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,True,,,,,,,Samalla alanrolla yht 10 erilaista. Keltainen kierretty,KM 19915_4,"26,59027985","61,17037981",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,163010005,Kouvola,Pukkisaari,KM,19915,4.0,6784680.0,3478120.0,73,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,True,,,,,,,"Samalla alanrolla yht 10 erilaista. Musta, turkoosi juova, silmän keskus turkoosi, säteet pun, kelt, turk. 2 kpl",KM 19915_4,"26,59027985","61,17037981",Glass bead,Glass bead (eye bead),Silmähelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,163010005,Kouvola,Pukkisaari,KM,19915,4.0,6784680.0,3478120.0,73,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,True,,,,,,,"Samalla alanrolla yht 10 erilaista. Punainen, keltaiset pisteet. Myös Retulasta samanlainen",KM 19915_4,"26,59027985","61,17037981",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,163010005,Kouvola,Pukkisaari,KM,19915,4.0,6784680.0,3478120.0,73,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,True,,,,,,,"Samalla alanrolla yht 10 erilaista. Musta, valkoinen  juova, silmän keskus musta, säteet pun, valk. Sulanut",KM 19915_4,"26,59027985","61,17037981",Glass bead,Glass bead (eye bead),Silmähelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,165010039,Janakkala,Veräjänsuu (Hamppula 3),KM,24440,472.0,6755318.0,3369340.0,85,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,False,,,,,,,"Sulanut, keltainen, vähän ehkä punaista ja sinistä näkyvissä. Luuta kiinni myös-",KM 24440_472,"24,59030377","60,88591804",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,165010039,Janakkala,Veräjänsuu (Hamppula 3),KM,24440,441.0,6755318.0,3369340.0,85,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,False,,,,,,,"Keltainen, punaiset kohopisteet tai -laikut. Sulanut psittain.",KM 24440_441,"24,59030377","60,88591804",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,165010039,Janakkala,Veräjänsuu (Hamppula 3),KM,24440,502.0,6755318.0,3369340.0,85,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,True,12.0,8.0,,,,,"Tynnyrimäinen keltainen, jossa näkyvissä 7 silmää, niissä musta/musta-punainen keskus, säteet valkoista, punaista ja ohuesti mustaa. Epäsäännölliset silmät, helmi hieman lohjennut. Olisiko samanlaisen kpl nrolla :531?",KM 24440_502,"24,59030377","60,88591804",Glass bead,Glass bead (eye bead),Silmähelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,165010039,Janakkala,Veräjänsuu (Hamppula 3),KM,24440,38.0,6755318.0,3369340.0,85,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,1.0,False,,,,,,,"Sulanut, keltainen, jossa vähän sinistä näkyvissä. Kiinni myös palanutta luuta ja pronssispiraalia",KM 24440_38,"24,59030377","60,88591804",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,165010069,Janakkala,Taurula,KM,24745,1998.0,6757104.0,3367519.0,87,Beads,Lasimassahelmi,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,1.0,False,,,,11.0,,,"Puolikas, keltainen pohja, säilyneellä puolella kaksi silmää vierekkäin, keskuksena vihreä laikku, sen ympärillä keltaista, säteet, punaista, mustaa, valkoista ja välissä keltaista",KM 24745_1998,"24,55557343","60,90132726",Glass bead,Glass bead (eye bead),Silmähelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,220010002,Raasepori,Domargård I,KM,21634,550.0,6663430.0,3312339.0,25,Beads,Lasimassahelmi,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0,True,16.0,14.0,13.0,,,,"Sininen, kierretty? Läpikuultava iso",KM 21634_550,"23,62884517","60,03980989",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,220010017,Raasepori,Brobacka,KM,17055,137.0,6664050.0,3313018.0,15,Beads,Lasimassahelmi,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,1.0,True,6.0,4.0,,,,,Vihreä lieriömäinen helmi,KM 17055_137,"23,64044241","60,04567515",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,220010017,Raasepori,Brobacka,KM,17055,123.0,6664050.0,3313018.0,15,Beads,Lasimassahelmi,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,1.0,True,8.0,3.0,,,,,"Litteä sininen, samanlainen alanrolla :141",KM 17055_123,"23,64044241","60,04567515",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,220010017,Raasepori,Brobacka,KM,17055,124.0,6664050.0,3313018.0,15,Beads,Lasimassahelmi,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,1.0,True,8.0,3.0,2.0,,,,"Kaksi litteää sinistä helmeä kinni toisissaan, kaksoishelmi, samanlainen alanrolla 311",KM 17055_124,"23,64044241","60,04567515",Glass bead,Glass bead (serial),Sarjahelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,220010017,Raasepori,Brobacka,KM,17055,137.0,6664050.0,3313018.0,15,Beads,Lasimassahelmi,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,1.0,True,6.0,7.0,,,,,Vihreä lieriömäinen helmi,KM 17055_137,"23,64044241","60,04567515",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,220010017,Raasepori,Brobacka,KM,17055,142.0,6664050.0,3313018.0,15,Beads,Lasimassahelmi,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,1.0,True,10.0,9.0,,,,,"Musta tai tummansininen, keltaisia kohoympyröitä, samanlaiset alanroilla :166 ja :326",KM 17055_142,"23,64044241","60,04567515",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,220010017,Raasepori,Brobacka,KM,17055,255.0,6664050.0,3313018.0,15,Beads,Lasimassahelmi,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,1.0,True,8.0,7.0,6.0,,,,,KM 17055_255,"23,64044241","60,04567515",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,220010032,Raasepori,Östergård,KM,21238,103.0,6664993.0,3313872.0,15,Beads,Lasimassahelmi,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,1.0,True,11.0,7.0,,,,,"Punainen, kierretty",KM 21238_103,"23,65488633","60,05451305",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,271010010,Kokemäki,Linnaluoto,TYA,215,1.0,6805255.0,3252772.0,43,Beads,Lasimassahelmi,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,1.0,True,10.0,6.0,,,,,"Sininen kierretty, keltainen aaltoviiva kiertää helmeä.",TYA 215_1,"22,38473177","61,27715242",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,271010014,Kokemäki,Leikkimäki,TYA,250,1.0,6803374.0,3252247.0,40,Beads,Kivihelmi,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,1.0,False,,,,,,,"Pitkänomainen, särmikäs",TYA 250_1,"22,37745385","61,25999457",Stone bead,Carnelian bead,Karneolihelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,271010014,Kokemäki,Leikkimäki,TYA,346,1.0,6803374.0,3252247.0,40,Beads,Pronssihelmi,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1.0,True,,,,,,,Rengasmainen,TYA 346_1,"22,37745385","61,25999457",Bronze bead,Bronze bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,271010014,Kokemäki,Leikkimäki,TYA,250,17.0,6803374.0,3252247.0,40,Beads,Lasimassahelmi,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,1.0,True,7.0,4.0,,,,,"Pyöreä sininen läpikuultava, ehkä kierretty",TYA 250_17,"22,37745385","61,25999457",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,271010014,Kokemäki,Leikkimäki,TYA,288,38.0,6803374.0,3252247.0,40,Beads,Lasimassahelmi,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1.0,True,5.0,5.0,,,,,Läpinäkyvä violetti monitahokas. Historiallinen?,TYA 288_38,"22,37745385","61,25999457",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,271010014,Kokemäki,Leikkimäki,TYA,250,16.0,6803374.0,3252247.0,40,Beads,Lasimassahelmi,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,1.0,True,10.0,3.0,,,,,"Vihreä, rengasmainen, suorasta putkesta leikattu. Mutu: vähän viikkaria vanhempi.",TYA 250_16,"22,37745385","61,25999457",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,271010015,Kokemäki,Perävainionmäki,SatM,17824,468.0,6804468.0,3251730.0,40,Beads,Lasimassahelmi,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1.0,True,5.0,5.0,,,,,Sininen segmentoidusta vartaasta,SatM 17824_468,"22,36640732","61,26945177",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,271010015,Kokemäki,Perävainionmäki,SatM,17824,324.0,6804468.0,3251730.0,40,Beads,Lasimassahelmi,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1.0,False,,,,,,,Puolikas kierretty punainen,SatM 17824_324,"22,36640732","61,26945177",Glass bead,Glass bead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,271010015,Kokemäki,Perävainionmäki,SatM,17824,385.0,6804468.0,3251730.0,40,Beads,Lasimassahelmi,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,2.0,False,,,,,,,"Puolikas pyöreä, huonokuntoinen ja vaikea sanoa onko luuta vai kultafolio, ks luettelo, sanoisin että jälkimmäinen",SatM 17824_385,"22,36640732","61,26945177",Glass bead,Gold-foiled glass bead,Kultafoliohelmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
